Rxn ID	reaction	PCC	p-value	fluxes	transcripts
METHYLCROTONYL_COA_CARBOXYLASE_RXN_m2,3_METHYL_CROTONYL_COA_m2 + 0.9 ATP_m2 + HCO3_m2 + 0.1 aATP_m2 --> 0.8 ADP_m2 + 0.9 PROTON_m2 + Pi_m2 + TRANS_3_METHYL_GLUTACONYL_COA_m2 + 0.2 aADP_m2,nan,1.0,[0.0, 0.0, 0.0, 0.0, 0.0],[array([21.23773555, 21.71067166, 21.74201854, 22.29196855, 22.22203618,
       22.36120743, 22.57503508, 22.71529457]), array([21.46609706, 21.15750823, 21.40501941, 21.33736801, 22.03377579,
       22.08569163, 21.97355819, 22.2646299 ]), array([25.50512304, 27.16947284, 30.12682081, 28.88034201, 26.03234688,
       30.03840073, 30.13439269]), array([27.67435803, 28.64799375, 28.10976097, 28.54814575]), array([24.50766104, 24.34113478, 23.59130418, 23.86838435, 23.61686459])]
METHYLCROTONYL_COA_CARBOXYLASE_RXN_m1,3_METHYL_CROTONYL_COA_m1 + 0.9 ATP_m1 + HCO3_m1 + 0.1 aATP_m1 --> 0.8 ADP_m1 + 0.9 PROTON_m1 + Pi_m1 + TRANS_3_METHYL_GLUTACONYL_COA_m1 + 0.2 aADP_m1,nan,1.0,[0.0, 0.0, 0.0, 0.0, 0.0],[array([21.23773555, 21.71067166, 21.74201854, 22.29196855, 22.22203618,
       22.36120743, 22.57503508, 22.71529457]), array([21.46609706, 21.15750823, 21.40501941, 21.33736801, 22.03377579,
       22.08569163, 21.97355819, 22.2646299 ]), array([25.50512304, 27.16947284, 30.12682081, 28.88034201, 26.03234688,
       30.03840073, 30.13439269]), array([27.67435803, 28.64799375, 28.10976097, 28.54814575]), array([24.50766104, 24.34113478, 23.59130418, 23.86838435, 23.61686459])]
H_mc1,PROTON_c1 --> PROTON_m1,nan,1.0,[5.144099013361967, 5.410187697569219, 4.302568624126113, 2.37686348515729, 0.9347627440028108],[array([0., 0., 0., 0., 0., 0., 0., 0.]), array([0., 0., 0., 0., 0., 0., 0., 0.]), array([0., 0., 0., 0., 0., 0., 0.]), array([0., 0., 0., 0.]), array([0., 0., 0., 0., 0.])]
H_mc2,PROTON_c2 --> PROTON_m2,nan,1.0,[0.0, 0.0, 0.0, 0.0, 0.002026287692287015],[array([0., 0., 0., 0., 0., 0., 0., 0.]), array([0., 0., 0., 0., 0., 0., 0., 0.]), array([0., 0., 0., 0., 0., 0., 0.]), array([0., 0., 0., 0.]), array([0., 0., 0., 0., 0.])]
Protein_Processing_c1,0.1989 ATP_c1 + 0.306 WATER_c1 + 0.1071 aATP_c1 --> 0.153 ADP_c1 + 0.1683 PROTON_c1 + 0.2142 Pi_c1 + Protein_processing_cost_c1 + 0.153 aADP_c1 + 0.0918 aPi_c1,nan,1.0,[0.0, 0.0, -2.7692351173123443e-19, 9.48652604975231e-19, 0.0],[array([0., 0., 0., 0., 0., 0., 0., 0.]), array([0., 0., 0., 0., 0., 0., 0., 0.]), array([0., 0., 0., 0., 0., 0., 0.]), array([0., 0., 0., 0.]), array([0., 0., 0., 0., 0.])]
Protein_Processing_c2,0.1989 ATP_c2 + 0.306 WATER_c2 + 0.1071 aATP_c2 --> 0.153 ADP_c2 + 0.1683 PROTON_c2 + 0.2142 Pi_c2 + Protein_processing_cost_c2 + 0.153 aADP_c2 + 0.0918 aPi_c2,nan,1.0,[0.0, 1.4520940036014412e-17, 0.0, 0.0, -4.537793761254504e-18],[array([0., 0., 0., 0., 0., 0., 0., 0.]), array([0., 0., 0., 0., 0., 0., 0., 0.]), array([0., 0., 0., 0., 0., 0., 0.]), array([0., 0., 0., 0.]), array([0., 0., 0., 0., 0.])]
